state,date,population,lpg_stock,water_level,food_stock
Delhi,2024-01-01,168536167,6153,61,37302
Delhi,2024-01-02,168536167,6451,65,38990
Delhi,2024-01-03,168536167,5773,66,38818
Delhi,2024-01-04,168536167,5572,60,37239
Delhi,2024-01-05,168536167,5923,67,39917
Delhi,2024-01-06,168536167,6030,66,37587
Delhi,2024-01-07,168536167,5981,61,37299
Delhi,2024-01-08,168536167,5763,69,40296
Delhi,2024-01-09,168536167,6019,62,38924
Delhi,2024-01-10,168536167,6028,59,40202
Delhi,2024-01-11,168536167,6094,67,39624
Delhi,2024-01-12,168536167,6132,68,37679
Delhi,2024-01-13,168536167,5879,63,39445
Delhi,2024-01-14,168536167,5934,67,37703
Delhi,2024-01-15,168536167,6242,63,38815
Delhi,2024-01-16,168536167,6392,69,37351
Delhi,2024-01-17,168536167,5605,59,37949
Delhi,2024-01-18,168536167,5683,64,38632
Delhi,2024-01-19,168536167,6133,63,37703
Delhi,2024-01-20,168536167,5546,63,39365
Delhi,2024-01-21,168536167,6385,61,37574
Delhi,2024-01-22,168536167,5937,68,36623
Delhi,2024-01-23,168536167,5543,65,40328
Delhi,2024-01-24,168536167,5526,60,39037
Delhi,2024-01-25,168536167,6452,62,38174
Delhi,2024-01-26,168536167,5690,59,39871
Delhi,2024-01-27,168536167,5552,60,36340
Delhi,2024-01-28,168536167,5527,64,36840
Delhi,2024-01-29,168536167,5942,67,39892
Delhi,2024-01-30,168536167,6058,63,40043
Delhi,2024-01-31,168536167,5851,62,37545
Delhi,2024-02-01,168536167,6016,62,37161
Delhi,2024-02-02,168536167,6474,60,37315
Delhi,2024-02-03,168536167,5559,63,37492
Delhi,2024-02-04,168536167,5655,68,39389
Delhi,2024-02-05,168536167,5701,67,36644
Delhi,2024-02-06,168536167,5742,65,40214
Delhi,2024-02-07,168536167,5540,69,36681
Delhi,2024-02-08,168536167,5557,65,38718
Delhi,2024-02-09,168536167,5962,69,39982
Delhi,2024-02-10,168536167,5818,64,39436
Delhi,2024-02-11,168536167,6072,60,39543
Delhi,2024-02-12,168536167,5891,67,37196
Delhi,2024-02-13,168536167,5860,69,38359
Delhi,2024-02-14,168536167,5822,68,38935
Delhi,2024-02-15,168536167,5897,67,36357
Delhi,2024-02-16,168536167,6414,69,37164
Delhi,2024-02-17,168536167,6155,67,40050
Delhi,2024-02-18,168536167,6373,68,38385
Delhi,2024-02-19,168536167,5655,62,39594
Delhi,2024-02-20,168536167,6405,60,38491
Delhi,2024-02-21,168536167,5730,66,39383
Delhi,2024-02-22,168536167,6200,59,38227
Delhi,2024-02-23,168536167,5846,59,39011
Delhi,2024-02-24,168536167,5917,59,36629
Delhi,2024-02-25,168536167,6304,67,36386
Delhi,2024-02-26,168536167,6341,63,39483
Delhi,2024-02-27,168536167,6340,64,39460
Delhi,2024-02-28,168536167,6498,60,37065
Delhi,2024-02-29,168536167,6158,60,36702
Maharashtra,2024-01-01,51498142,4938,81,41526
Maharashtra,2024-01-02,51498142,4688,81,41335
Maharashtra,2024-01-03,51498142,4833,79,41692
Maharashtra,2024-01-04,51498142,4434,84,41781
Maharashtra,2024-01-05,51498142,5183,79,39781
Maharashtra,2024-01-06,51498142,5082,85,40610
Maharashtra,2024-01-07,51498142,4688,77,42651
Maharashtra,2024-01-08,51498142,5117,78,39674
Maharashtra,2024-01-09,51498142,4922,82,40044
Maharashtra,2024-01-10,51498142,4557,82,42728
Maharashtra,2024-01-11,51498142,5207,83,42206
Maharashtra,2024-01-12,51498142,4624,81,41938
Maharashtra,2024-01-13,51498142,5030,78,40073
Maharashtra,2024-01-14,51498142,5021,75,42137
Maharashtra,2024-01-15,51498142,4946,78,40051
Maharashtra,2024-01-16,51498142,4707,82,41814
Maharashtra,2024-01-17,51498142,4916,82,40664
Maharashtra,2024-01-18,51498142,4557,85,42259
Maharashtra,2024-01-19,51498142,5014,85,42295
Maharashtra,2024-01-20,51498142,5028,85,40071
Maharashtra,2024-01-21,51498142,4644,75,40386
Maharashtra,2024-01-22,51498142,4727,80,38939
Maharashtra,2024-01-23,51498142,4887,79,39601
Maharashtra,2024-01-24,51498142,4847,78,39031
Maharashtra,2024-01-25,51498142,4379,84,39748
Maharashtra,2024-01-26,51498142,5223,75,42693
Maharashtra,2024-01-27,51498142,4711,82,40918
Maharashtra,2024-01-28,51498142,4356,85,40552
Maharashtra,2024-01-29,51498142,4810,81,41188
Maharashtra,2024-01-30,51498142,4299,76,42255
Maharashtra,2024-01-31,51498142,4698,82,39491
Maharashtra,2024-02-01,51498142,5286,84,39728
Maharashtra,2024-02-02,51498142,4780,83,41175
Maharashtra,2024-02-03,51498142,4760,75,39989
Maharashtra,2024-02-04,51498142,4587,85,41863
Maharashtra,2024-02-05,51498142,5001,81,38811
Maharashtra,2024-02-06,51498142,5152,82,38814
Maharashtra,2024-02-07,51498142,5036,76,39027
Maharashtra,2024-02-08,51498142,4788,79,39410
Maharashtra,2024-02-09,51498142,4306,80,39287
Maharashtra,2024-02-10,51498142,4863,77,42392
Maharashtra,2024-02-11,51498142,5175,82,41568
Maharashtra,2024-02-12,51498142,4417,82,41115
Maharashtra,2024-02-13,51498142,4667,80,39124
Maharashtra,2024-02-14,51498142,4474,76,41772
Maharashtra,2024-02-15,51498142,4962,81,42774
Maharashtra,2024-02-16,51498142,4770,80,41179
Maharashtra,2024-02-17,51498142,4727,76,42159
Maharashtra,2024-02-18,51498142,4361,85,39763
Maharashtra,2024-02-19,51498142,5009,75,38844
Maharashtra,2024-02-20,51498142,5205,81,39663
Maharashtra,2024-02-21,51498142,4959,81,42302
Maharashtra,2024-02-22,51498142,4395,76,38839
Maharashtra,2024-02-23,51498142,5286,78,41679
Maharashtra,2024-02-24,51498142,5124,82,42576
Maharashtra,2024-02-25,51498142,5172,81,39862
Maharashtra,2024-02-26,51498142,4486,84,42189
Maharashtra,2024-02-27,51498142,4335,85,40906
Maharashtra,2024-02-28,51498142,5156,78,42553
Maharashtra,2024-02-29,51498142,4906,76,42136
Rajasthan,2024-01-01,27997693,6173,66,46988
Rajasthan,2024-01-02,27997693,6085,69,44754
Rajasthan,2024-01-03,27997693,6108,73,45588
Rajasthan,2024-01-04,27997693,6806,74,47624
Rajasthan,2024-01-05,27997693,6491,74,47036
Rajasthan,2024-01-06,27997693,6899,76,47304
Rajasthan,2024-01-07,27997693,6721,69,45402
Rajasthan,2024-01-08,27997693,6821,68,45229
Rajasthan,2024-01-09,27997693,6477,74,46034
Rajasthan,2024-01-10,27997693,6710,76,46571
Rajasthan,2024-01-11,27997693,6027,70,47233
Rajasthan,2024-01-12,27997693,6213,73,46347
Rajasthan,2024-01-13,27997693,6222,74,44957
Rajasthan,2024-01-14,27997693,6696,68,46610
Rajasthan,2024-01-15,27997693,6462,69,46676
Rajasthan,2024-01-16,27997693,6512,72,45515
Rajasthan,2024-01-17,27997693,6785,69,45452
Rajasthan,2024-01-18,27997693,6534,76,46987
Rajasthan,2024-01-19,27997693,6185,67,48267
Rajasthan,2024-01-20,27997693,6460,74,46368
Rajasthan,2024-01-21,27997693,6617,72,45093
Rajasthan,2024-01-22,27997693,6403,74,48645
Rajasthan,2024-01-23,27997693,6036,71,47190
Rajasthan,2024-01-24,27997693,6441,72,46770
Rajasthan,2024-01-25,27997693,6339,70,47812
Rajasthan,2024-01-26,27997693,6138,74,46070
Rajasthan,2024-01-27,27997693,6459,71,46980
Rajasthan,2024-01-28,27997693,6784,66,45774
Rajasthan,2024-01-29,27997693,6314,66,48520
Rajasthan,2024-01-30,27997693,6372,66,46263
Rajasthan,2024-01-31,27997693,6446,70,47753
Rajasthan,2024-02-01,27997693,6321,76,46707
Rajasthan,2024-02-02,27997693,6708,74,47644
Rajasthan,2024-02-03,27997693,6736,76,47094
Rajasthan,2024-02-04,27997693,6283,76,47116
Rajasthan,2024-02-05,27997693,6893,71,46219
Rajasthan,2024-02-06,27997693,6528,72,47010
Rajasthan,2024-02-07,27997693,6093,67,46150
Rajasthan,2024-02-08,27997693,6706,66,47043
Rajasthan,2024-02-09,27997693,6793,75,47660
Rajasthan,2024-02-10,27997693,6865,67,46851
Rajasthan,2024-02-11,27997693,6310,67,48221
Rajasthan,2024-02-12,27997693,6863,70,47012
Rajasthan,2024-02-13,27997693,6618,68,48256
Rajasthan,2024-02-14,27997693,6625,68,45808
Rajasthan,2024-02-15,27997693,6872,69,47007
Rajasthan,2024-02-16,27997693,6723,74,48315
Rajasthan,2024-02-17,27997693,6692,72,46941
Rajasthan,2024-02-18,27997693,6412,66,48472
Rajasthan,2024-02-19,27997693,6908,70,45912
Rajasthan,2024-02-20,27997693,6242,76,47141
Rajasthan,2024-02-21,27997693,6271,72,48361
Rajasthan,2024-02-22,27997693,6813,72,47523
Rajasthan,2024-02-23,27997693,6724,74,47675
Rajasthan,2024-02-24,27997693,6162,67,47618
Rajasthan,2024-02-25,27997693,6228,67,47782
Rajasthan,2024-02-26,27997693,6728,72,45256
Rajasthan,2024-02-27,27997693,6036,69,46003
Rajasthan,2024-02-28,27997693,6760,67,44809
Rajasthan,2024-02-29,27997693,6462,74,48498
Punjab,2024-01-01,95097338,5698,82,31053
Punjab,2024-01-02,95097338,4905,86,30182
Punjab,2024-01-03,95097338,4865,77,31291
Punjab,2024-01-04,95097338,4931,76,30169
Punjab,2024-01-05,95097338,5746,80,32191
Punjab,2024-01-06,95097338,4959,78,30679
Punjab,2024-01-07,95097338,5324,77,30822
Punjab,2024-01-08,95097338,4925,81,33785
Punjab,2024-01-09,95097338,5166,81,32768
Punjab,2024-01-10,95097338,5381,79,30716
Punjab,2024-01-11,95097338,5818,79,30125
Punjab,2024-01-12,95097338,4984,77,32557
Punjab,2024-01-13,95097338,5445,79,33502
Punjab,2024-01-14,95097338,4958,80,30405
Punjab,2024-01-15,95097338,5618,76,32357
Punjab,2024-01-16,95097338,5645,80,33159
Punjab,2024-01-17,95097338,5389,82,33303
Punjab,2024-01-18,95097338,5250,85,33285
Punjab,2024-01-19,95097338,5496,83,33640
Punjab,2024-01-20,95097338,5295,82,30849
Punjab,2024-01-21,95097338,5792,80,31802
Punjab,2024-01-22,95097338,5406,77,31629
Punjab,2024-01-23,95097338,4951,85,30309
Punjab,2024-01-24,95097338,5357,76,31501
Punjab,2024-01-25,95097338,5687,77,29861
Punjab,2024-01-26,95097338,5767,77,30079
Punjab,2024-01-27,95097338,5520,76,32105
Punjab,2024-01-28,95097338,5477,80,33391
Punjab,2024-01-29,95097338,4991,76,33169
Punjab,2024-01-30,95097338,5673,83,33664
Punjab,2024-01-31,95097338,5163,85,32626
Punjab,2024-02-01,95097338,5078,85,31536
Punjab,2024-02-02,95097338,5597,82,30591
Punjab,2024-02-03,95097338,5788,86,31725
Punjab,2024-02-04,95097338,4948,80,31729
Punjab,2024-02-05,95097338,5134,82,33637
Punjab,2024-02-06,95097338,5241,84,31103
Punjab,2024-02-07,95097338,5597,79,30582
Punjab,2024-02-08,95097338,4976,83,31669
Punjab,2024-02-09,95097338,5356,81,30417
Punjab,2024-02-10,95097338,5649,84,33423
Punjab,2024-02-11,95097338,5353,76,31630
Punjab,2024-02-12,95097338,5123,84,30499
Punjab,2024-02-13,95097338,5342,78,33536
Punjab,2024-02-14,95097338,5743,82,30558
Punjab,2024-02-15,95097338,5318,76,32258
Punjab,2024-02-16,95097338,4948,84,33603
Punjab,2024-02-17,95097338,5308,79,29853
Punjab,2024-02-18,95097338,4978,76,31330
Punjab,2024-02-19,95097338,5801,80,33405
Punjab,2024-02-20,95097338,5677,77,33050
Punjab,2024-02-21,95097338,5295,86,29954
Punjab,2024-02-22,95097338,4906,80,30689
Punjab,2024-02-23,95097338,5023,79,33114
Punjab,2024-02-24,95097338,5230,82,30767
Punjab,2024-02-25,95097338,5384,76,31110
Punjab,2024-02-26,95097338,5064,76,30664
Punjab,2024-02-27,95097338,5643,81,32128
Punjab,2024-02-28,95097338,5101,86,31140
Punjab,2024-02-29,95097338,5596,83,31976
Gujarat,2024-01-01,51222514,7958,86,57064
Gujarat,2024-01-02,51222514,8540,88,55112
Gujarat,2024-01-03,51222514,8802,86,56613
Gujarat,2024-01-04,51222514,8033,93,58512
Gujarat,2024-01-05,51222514,8275,86,57711
Gujarat,2024-01-06,51222514,8137,91,55037
Gujarat,2024-01-07,51222514,8879,87,54999
Gujarat,2024-01-08,51222514,8695,90,55468
Gujarat,2024-01-09,51222514,8575,86,58566
Gujarat,2024-01-10,51222514,8342,91,58077
Gujarat,2024-01-11,51222514,8862,89,58624
Gujarat,2024-01-12,51222514,8504,90,57589
Gujarat,2024-01-13,51222514,8733,89,56460
Gujarat,2024-01-14,51222514,8451,85,56482
Gujarat,2024-01-15,51222514,8328,87,56225
Gujarat,2024-01-16,51222514,7992,87,55607
Gujarat,2024-01-17,51222514,8595,91,56376
Gujarat,2024-01-18,51222514,8726,89,58025
Gujarat,2024-01-19,51222514,8646,87,57896
Gujarat,2024-01-20,51222514,8359,84,58592
Gujarat,2024-01-21,51222514,8276,87,56069
Gujarat,2024-01-22,51222514,8579,85,57286
Gujarat,2024-01-23,51222514,8034,89,58856
Gujarat,2024-01-24,51222514,8222,84,55996
Gujarat,2024-01-25,51222514,8897,85,56344
Gujarat,2024-01-26,51222514,8748,91,58707
Gujarat,2024-01-27,51222514,8490,85,55504
Gujarat,2024-01-28,51222514,8791,88,58512
Gujarat,2024-01-29,51222514,8135,91,55992
Gujarat,2024-01-30,51222514,8461,89,55928
Gujarat,2024-01-31,51222514,8479,89,57956
Gujarat,2024-02-01,51222514,8010,94,55488
Gujarat,2024-02-02,51222514,8431,90,56961
Gujarat,2024-02-03,51222514,8342,91,57891
Gujarat,2024-02-04,51222514,8080,91,55899
Gujarat,2024-02-05,51222514,8225,87,57933
Gujarat,2024-02-06,51222514,8334,89,58113
Gujarat,2024-02-07,51222514,8197,89,55440
Gujarat,2024-02-08,51222514,8293,94,57034
Gujarat,2024-02-09,51222514,8785,84,56887
Gujarat,2024-02-10,51222514,8386,94,55040
Gujarat,2024-02-11,51222514,8836,90,56001
Gujarat,2024-02-12,51222514,8071,91,55747
Gujarat,2024-02-13,51222514,8242,86,55022
Gujarat,2024-02-14,51222514,7939,86,57298
Gujarat,2024-02-15,51222514,8256,88,58091
Gujarat,2024-02-16,51222514,8034,94,56457
Gujarat,2024-02-17,51222514,8157,93,56224
Gujarat,2024-02-18,51222514,8198,84,55640
Gujarat,2024-02-19,51222514,8545,91,58169
Gujarat,2024-02-20,51222514,8160,93,57367
Gujarat,2024-02-21,51222514,8729,88,55912
Gujarat,2024-02-22,51222514,8158,85,55885
Gujarat,2024-02-23,51222514,8064,90,57162
Gujarat,2024-02-24,51222514,7942,94,58281
Gujarat,2024-02-25,51222514,8548,88,57948
Gujarat,2024-02-26,51222514,8482,86,55230
Gujarat,2024-02-27,51222514,8665,89,57772
Gujarat,2024-02-28,51222514,8190,84,55869
Gujarat,2024-02-29,51222514,8745,92,57464
Uttar Pradesh,2024-01-01,37525437,4064,63,46967
Uttar Pradesh,2024-01-02,37525437,4403,68,44736
Uttar Pradesh,2024-01-03,37525437,4298,64,47880
Uttar Pradesh,2024-01-04,37525437,4384,69,46182
Uttar Pradesh,2024-01-05,37525437,4641,65,44742
Uttar Pradesh,2024-01-06,37525437,4224,61,47667
Uttar Pradesh,2024-01-07,37525437,4924,61,47879
Uttar Pradesh,2024-01-08,37525437,4658,62,44650
Uttar Pradesh,2024-01-09,37525437,4947,62,45136
Uttar Pradesh,2024-01-10,37525437,4720,61,47311
Uttar Pradesh,2024-01-11,37525437,4435,61,46580
Uttar Pradesh,2024-01-12,37525437,4422,62,45205
